sentiment,Content
happiness,"He he ...Happy #star wars day! May the 4th be with you  Brilliant!!"
surprise,"He is a singer of the Oasis, right?? I mean.. never think he hates me"
happiness,"He loved it, so Happy Birthday!!!   He said you sounded like a mixture of John Lennon, Chrissie Hynde, and Janis Joplin."
happiness,"He seemed all happy about it"
surprise,"he was a very tallented man so its fitting wish I was closer to see it myself"
happiness,"he was soooo great!!! loved him! He was so good live, haha it poured on us though... makes it that much better!"
surprise,"He'd probably spontaneously combust."
happiness,"He'll know Tupac lyrics too!"
relief,"He's an amazing jockey! Saw that Clydesdale commercial too..loved it!"
relief,"he's happy because hs is there haha I know we would be"
relief,"he's here   sleep over with the MR. night peeps !"
surprise,"he's pretty cute."
surprise,"He's too old school for burnouts. Just a lap around the track, like they used to.  #NASCAR"
surprise,"headache  wanna see my Julie"
surprise,"Headache from last night has morphed in to a hangover  and now it's time to drive down the motorway... to Wolverhampton (WHY OH WHY?!)"
happiness,"Headache is gone,thank god!Time for tea i think"
happiness,"Headed home, see yall in the A.M. Tweets"
surprise,"headed into venue.  bbl"
happiness,"Headed out at 6 today, shopped for Mother's Day gifts. I love B&amp;BWs new scents ? AND finished my book I bought yesterday."
relief,"Headed to drop my lil cuz off at the bus stop! Then its back to the bed to read my book!  relaXin on my day off."
happiness,"headed to the beach with puppy maverick hugs and much aloha"
happiness,"Headed up to WMC for the day. Hopefully I'll have enough time to swing by Chinatown on the way home. I'm in the mood for duck!"
surprise,"Headin 2 chilis Mr. Presidente's callin my name! Then 2 the ice house"
relief,"Headin home...Refreshed my mind and soul justa lil bit...Bac to reality."
relief,"Heading back home with a win!"
surprise,"heading down to beach! still no fone....woo!"
happiness,"Heading downtown! Drinks and dancing!!"
happiness,"Heading home now, yay! Was going to buy a much needed bottle of wine to drink with dinner, but my wallet is MIA so no wine for me tonight"
happiness,"Heading of to the theatre! Having a show tonight, I'm so exited!"
happiness,"Heading off to Hollywood Studios today  Manta and Kraken were both awesome yesterday, feeling like doing a few more rides!!"
happiness,"heading off to schoool. going to have a good day. i just knoww..."
surprise,"heading over to xbox  will go shopping 2morrow"
surprise,"Heading south on I-95.  Jacked mess around SR 234"
enthusiasm,"Heading to a wedding"
happiness,"Heading to Beaumont"
relief,"Heading to bed. I think I'll read for a bit, propped up on fluffy pillows."
happiness,"heading to Kitsilano for a BBQ  this weather is b.e.a... UTIFUL!! x"
relief,"heading to Sam Adams Brewery... but can't sample it when I get there"
happiness,"Heading to the office through a very quiet Stockholm, at least its not sunny"
relief,"Heading to the U of Utah hospital. Have a great day everyone"
happiness,"Heading to XS with Nadia!! Yeee!"
happiness,"heading to Xtra-vision to get part 2 of Season 3 - CSI Miami baby!!!"
enthusiasm,"Healthy Wishes. I may just start saying that."
happiness,"heard of. And you're the first to mention him to me!"
surprise,"Heard that your dad would be going here in September. Would you also come with him?"
happiness,"heard through the grapevine that we might see you around today. Looking forward to meeting you."
happiness,"Hearing that my songs brighten someone's day always makes ME grin."
happiness,"Heather is awake now"
enthusiasm,"Hecks yeah. Jandy timsamlake is too rawesome!"
enthusiasm,"heeeeey baby ? where are you?"
happiness,"heeey heeey!   about to go read..."
happiness,"Heeey, we won ice hockey....we are winners!!"
surprise,"heh coincidence im a barnsley fan too  how'd you track me down :o"
happiness,"Heh heh. Odd but amusing. Thanks!"
happiness,"Heh, thanks for that adorable plug  *cough* more info at: www.samstephens.com *cough* *cough*"
happiness,"Heh.  When I moved into my house Pius was having a pep rally, so there was cheering and a band."
surprise,"Heh... I send dem when I get dem Jen... I was shocked I found so many these last few days... earlier in the week nothing..."
happiness,"Hehe"
happiness,"hehe - about NZ being the most magical place on Earth."
happiness,"Hehe ! Thanks for your advice  I choose the shoes, only three of them, so hard !!!"
happiness,"hehe i will never thorw out these shoes  i'm listening to varsity fanclub surprise surprise  sway sway baby is awesome"
enthusiasm,"hehe indeed it is, I actually nearly changed my bio to just 'Don't Panic' but I wanted to keep in the #freehugs"
surprise,"hehe true. i wonder what he will come up with"
happiness,"Hehe, funny (the midget thing) ! Cheer up Alex, and wave from below  Is it that you are in Germany right now? .. or in Spain? ;D"
happiness,"hehe, I can almost hear out of my right ear now  Can you yet?"
relief,"Hehe. Yeah, me too.  or I would totally write it. XD"
happiness,"Hehe...until it comes back, your FB friends get a Twitter respite huh? JK!"
happiness,"hehee!! yea its supposed to sound mean.. hahhaa"
happiness,"heheh ....qualifying was pretty exciting tho  .."
happiness,"Hehehe  I didn't really know that! Well, use your blog or Twitter to suggest interesting topics for ppl to engage in"
relief,"hehehe hello!!! how are you? good to see you on twitter!!"
happiness,"hehehe!! Are you tryna find another condom  better get u for boxes cuz ima take u thru all of em"
happiness,"Hehehe. ) I`m nice"
happiness,"hehehehe I will keep silent now"
happiness,"hehehehe oh i love the Purate ENglish sooo much"
happiness,"hehehehehe.....it play time now cutie!  lol lol"
happiness,"hell yeah! Belgian beer is the bomb!!  :p"
happiness,"Hella worth it, even if you don't need the full 32 now."
surprise,"Hella wow .  no doubt ."
surprise,"Hello  ...hehe yup we sure do ...lovely to 'see' you xx"
relief,"Hello  Back to work today after a week of vacation !"
happiness,"Hello all my new followers, there is suddenly a lot of you, so will take a little time to get round to you all"
enthusiasm,"Hello How are you"
surprise,"Hello James, who are you"
relief,"Hello Krystyn  have a great Mother's Day celebrations"
happiness,"Hello my friend...you found me on GBW? How are you doing? Glad to see you twitter but I have to learn German"
relief,"hello nikki! i just ended my exams 2 hours ago!  how abt u?"
happiness,"Hello pal..nice 2 c u today...have a gr8 week"
happiness,"Hello Paul, nice to hear someone is listening  Some interesting thoughts from #Kaashoek #Unisys. Patel from Doculabs next !"
surprise,"Hello there, Taylor  I MISS YOU. Its been 2 months &lt;/3"
happiness,"Hello there! Thankyou. I always seem to make a difference in  someone's life everyday."
happiness,"hello thereeeeeee"
surprise,"Hello Twitters"
surprise,"hello twittttty world! how do you do?"
happiness,"Hello, im good thank you - tottaly tired, been working lots today...tottaly shattered!  what about u"
happiness,"Hello, you are sooo awesome!! Dont ever stop what your doing haha, You make me fall off my chair laughing  x"
happiness,"Hello! Happy bank holiday"
enthusiasm,"Hellooooooo... Whats the scene people !!!"
happiness,"Her new cd is lovely."
surprise,"her son is 7 and captured it outside...THANK GOD I HAVE A LITTLE GIRL"
enthusiasm,"Here come the Hawks, the mighty Blackhawks!!"
surprise,"Here I'm staying up with you and you're not talking to me.   hehe"
happiness,"Here's a big moan for Dave Leyrock... IM UP IN 8HRS!  pity me! Coloursfest ahoy xo"
relief,"Here's some healing/sleep energy, sweetie!"
happiness,"Hes away longer then me. Im only away for a few hours"
happiness,"hes definitely my fav host ever!  Can't wait to watch the rest tomorrow!!"
happiness,"Hey"
enthusiasm,"Hey #YEG !!!!! Anyone goin to the Edmonton Energy game and wanna do some live updates? PLEASE!!!! They dont post live scores"
enthusiasm,"hey alexa, you heard right  looking forward to causing some mischief on friday!!"
happiness,"hey babe, happy to hear from you again on twitter  the today show was AMAZING!!"
happiness,"hey beautiful whats up?"
happiness,"hey cant wait 4 u guys 2 come over 2 jersey woop.... hope ur lookin 4ward 2 it coz we r  x"
happiness,"Hey chick!  When are we going to JA to pick up some hot guys and eat Jerk pork and festival? Well you already have a hot guy"
enthusiasm,"hey dave im just up in the UK and first thing i done was put RR on  could u play ill be there new kids on the block thanks"
happiness,"Hey David, I'm wondering if you received a letter that has a song in it? From Malaysia? please reply  and have a nice day!"
surprise,"Hey Dont Feel So Good,cuz i got in a car accedent yesterday."
relief,"Hey Dubbo RSL turkey roast circa 1995. Know it's been a while, just wanted to let you know I still think about you from time to time"
happiness,"Hey fellow Trojan..congrats on graduation."
happiness,"hey girl i just sent ya a message on Myspace"
relief,"Hey girl, yeah I did..thanks a bunch!! I haven't started downloading them yet...I totally owe you."
happiness,"hey girlie!!!"
happiness,"hey guys = ) i went to Jenny's house today!! i had so much fun    so how about everyone else? what did u guys doo?"
happiness,"hey guys it's leann. . i dont know if you remember me but i just wanted to say that i'm very excited to see you guys go far"
happiness,"hey guys!! saw you in st. louis and LOVED you.. would you ever play in CT?? i met you outside after and u were SO NICE!!"
happiness,"Hey had some fun with friends !!!!!Now cleaning"
relief,"hey Harley, I hope you stay around and not let the haters get the best of you!  people suck!"
enthusiasm,"HEY HEY ready to come to oklahoma?"
happiness,"hey hey, some else has twitter!"
surprise,"hey hey, ur following me  ur gna relise that i tweet ALOT!! haha more than a normal person wud but im not normal"
relief,"Hey hey. No problem."
happiness,"hey hey..i'm only finishing on the 10th of june"
happiness,"Hey I bought that Porter Cable 4-piece set.  My new drill has an LED light near the trigger.  Oh I'm so happy."
surprise,"hey I didn't get the email yet"
happiness,"hey i forgot about that, ask steve to take mine down mate. I do look like Liam from shameless!"
relief,"hey i know ya dont know me but i wanted to say yopu have helped me a lot i was over in iraq and i wanted to thank you"
enthusiasm,"hey i loved ACS but i had to see it online, is not here yet   cant wait to buy it!!! you look amazing there"
happiness,"Hey im a fan from New Zealand. Loving the show even tho we are soooo behind in the episodes! haha. Keep up the good work"
happiness,"hey im back on.. but msn won't work  darn msn haha. can't stop thinking about 3d movie haha!"
relief,"hey it's Julia. On twitter. Don't faint. I'm trying to get it to send to my phone"
happiness,"hey ive seen the musical live its funny lol"
relief,"hey Jess where is Josh??"
enthusiasm,"hey Kev - keep with it. It seems crap at first but will def be worthwhile! Add LOADS of people, much more interesting"
happiness,"hey Lonnie! I'll be there next weekend  I can't wait."
surprise,"Hey Love!!!"
happiness,"Hey Luis, thanks!  I have Flash and my prof's code to thank for that.  *cough*"
happiness,"Hey mates. I just came home from the beach.  I'm hella tired. It was a 4-hour ride."
happiness,"Hey Miss Jane! How are you? How goes the film? Hope all is good with you and your family"
enthusiasm,"Hey Muffin, good morning to you! Grt textin wif ya last night"
relief,"Hey my twitter friends, tho very few!!!!"
surprise,"hey Nat, just wondering, why are your videos never available on the iPhone?"
relief,"hey nick  how are youu? x"
happiness,"hey Padster...it's a dirt track.  thx for the info! I got 3 miles in"
surprise,"Hey Peter, thanks for the follow. So many Sydney pastors tweet!!! Shame no Bris pastors are on Twitter; we're behind."
happiness,"Hey Pinky I ordered some stuff from that site you gave me. I got it yesterday in the mail so pretty  thanks"
happiness,"hey Samantha welcome  and happy mother's day!!"
enthusiasm,"Hey Sarah! Hws u? Hope u remember me"
happiness,"Hey Sherri! Thanx 4 da messages Wondering if u could follow me? Plzzzz"
enthusiasm,"hey shinta!  i'm headed to bed now, but perhaps tomorrow night - when our hours overlap..."
happiness,"Hey Tay!! Plz can u write hey elin to me? Im sick and if u do it I feel better!"
happiness,"hey thanks mate your cool coz you watched it..."
enthusiasm,"HEY THAT'S SOMETHING I'D DO!"
happiness,"Hey there! It's a glorious morning! Monday's animation mode: ON!"
enthusiasm,"hey there! your web URL looks good"
relief,"hey there? hope you're all right. Just watching F1 Warm Up for GP Spain!"
relief,"hey they do have that  but these never bothered me before."
happiness,"Hey Tweeps...good morning. Wussup America...Talk to me tell wut's on ur mind.."
surprise,"hey twitter  hows it going? let us know how your day is going"
happiness,"hey ty for tip, wifi networking is one if my many talents  I'll get on it when I can be bothered LOL"
surprise,"Hey u  Whatchu up too? Isn't it past your bed time?"
happiness,"Hey welcome to VA, LOL.  It's muggy up here by DC too.  Worst part of summer I'd say"
surprise,"Hey what's up? My name is Caleb and I'm your newest follower!!!"
happiness,"Hey workaholic! =P lol...jus wanted to say hiiii....i always tell ash to invite u over but she says ur always working lol"
happiness,"Hey, Good Morning guys!!"
enthusiasm,"Hey, is the #beatweetup badge required for tonight? Just realized I left mine at home!"
happiness,"Hey, it's good to see you here! Will now follow you. Would be nice to have a photo!"
surprise,"Hey, look who's on twitter   Very kewl"
surprise,"Hey, nothing wrong with that!"
surprise,"Hey, thank you very much, that's very kind of you to say"
happiness,"Hey, thanks for the follow, wow this is exciting a new tweet."
happiness,"Hey, thanx for following me, I'll follow you"
surprise,"Hey, that link didn't work for me"
surprise,"Hey, you change your twitter account, and you didn't even tell me..."
surprise,"hey, you know the trailers before hannah montana? is there a jonas brothers 3D concert experience trailer?  x"
enthusiasm,"Hey, you!! ;) Call me this week!! Gotta go hang out ... could use the de-stress!!"
enthusiasm,"Hey!    Good AM to you too!"
enthusiasm,"hey!  sorry for the late reply.but i do plan on posting on both facebook and twitpic."
surprise,"hey! aww i cnt view it in the UK they're blocked  what it it??x"
relief,"hey! chutti was very tiring.. and have to travel again tomo  how was your Friday?"
surprise,"Hey! I am back.  Been listening to retrorewind.  How you do always know everything."
surprise,"hey! im rly sick atm, so i cant stay and chat, but hope ur well"
happiness,"hey! Ive never caught enyone on live before!"
happiness,"Hey! Let's Follow each other! Wouldn't that just be awesome!?"
happiness,"Hey! So glad it's Friday but not happy that I just ate a bad apple"
happiness,"Hey! thanks for another great day! I'm going to sleep now! I'll chat with you tomorrow!  Sweet dreams!"
enthusiasm,"hey! thanks for following  how is it going?"
happiness,"hey.just putting it out there.. you should come to townsville next year..elton john came in '06 n loved it. it was great!!!"
happiness,"heya  40 hour famine starts on may 22nd - are you gonna take part?"
happiness,"HEYHEYHEYY happy star wars day   watcha doin this friday? up for a movie?"
surprise,"heyy its ur bday?!!happy birthday!"
happiness,"heyy jay, wat's going on witcha ? &amp; do you want a twitter background ? you already know i gotcha if you need anything."
happiness,"heyy lol we are talking on david archuleta site as well lol  your funy lol"
happiness,"Heyy my teddy bear says i look very pretty and that Blake is to"
happiness,"heyyy girl.. havent tweeted u all week. hope all is well with you"
happiness,"heyyy! how are you todayy?!"
happiness,"Heyyyyy us English fans want some signings too"
surprise,"heyyyyyyyyyyy! Look who it is"
surprise,"hi  godd day eweryone im in a reel good mood to day"
happiness,"Hi  Im Better... Drinking Hot Tea With honey ^^ ... Thanks... Take Care Plis"
surprise,"Hi .. I have the net YAYY.. Im here for a short time though"
happiness,"hi 80th fallower"
happiness,"Hi all, just recovering from a party, looking forward to an exciting bank holiday around the diy shops...life cant get much better.surely"
surprise,"Hi All!!  I have 2 daughters.. and my youngest turns 2 on Monday.. Where did the time go??  sniffle sniffle sob. sob."
happiness,"Hi bunny! I recently have subcribed to your channel on YouTube! You make some great stuff. Kinda just wanted to say hi!"
happiness,"Hi CelebXXXVidsYH and AyBygW! Thanks for following"
happiness,"Hi Charlie, thank you for following me! Nice to know there's another Ollmann in the new world..."
happiness,"Hi Dale, your welcome man! Hope ur weekend is going well. I think I would enjoy your Desert Paradise! fun, fun, fun!"
happiness,"Hi Jakki! Thanks for the hug - right back at ya"
relief,"Hi John! Thanks for sharing that quote! It's soo true"
happiness,"Hi Michael!  Wow, thanks for the kind words! Now I must find love connections for you just for your bg alone!"
happiness,"Hi Miss.  Isabelle here. :]"
happiness,"hi my name is Chelsea and i respect your opinion when it comes to dwts. you were great on there too!"
happiness,"Hi Serena just want to say good luck in Madrid and Paris this month"
surprise,"Hi Simon, I'm new to this too - but just thought I'd tell you Jimmy Carr has tweeted that you make the Star Trek movie."
happiness,"Hi Susan, read your blog.  It's really good.  I look forward for the tweet updates"
happiness,"hi thanks for following me. u doing much? been a long time since i last chatted to u"
happiness,"hi there, nice to meet you"
surprise,"Hi there! Nice to meet you"
surprise,"Hi tweete, surprised to see everyone still up...maybe it's the full moon"
enthusiasm,"hi twitter people"
happiness,"Hi x Your websites soo cool i love using it  Thank you"
surprise,"Hi ya twitt's..so leaving sat morning here in TX..sad  I guess gotta really find a job now..if anyone in Atlanta needs a great designer.."
happiness,"Hi-5 to ALL my friends and ummm thanks for the follow and enjoy the ride IF I make too many trips (I will) for u and u gotta go i get it"
happiness,"Hi, i was just getting up now so i tought i could write something. Today i'm gonna go shopping! Soo fun, isn't it?"
happiness,"Hi! We get to try out new restos..so yea, it fuunn  Let's have dinner when you get back!"
happiness,"hi!! im glad you had fun at tennis! im about to go see dr dorfman   last visit though!!"
enthusiasm,"HIII!!!!  i've missed you  just bored....what about u?"
enthusiasm,"hilarious. so if she acts up, all you have to do is say 1 little word...&quot;gummed up&quot; grosses me out; hub says it 2 torment"
happiness,"Hiyaaa hannah asked me if i wanted to come to Girls Aloud  i wil see if i can skank some money somwhere is it ??????33 you need?"
happiness,"hm i'm happy but i want to join drama practice today !"
relief,"hmm Have to admit was a good episode and his man bag was rather fetching"
happiness,"hmm i dont know what to do today....cause im done with school...and it feel great"
happiness,"hmm icecream for breakfast  #springtime"
surprise,"Hmm Ok next time i see you il just get you to explain to me the whole process  haha"
happiness,"Hmm, tasty!  Going to have curry rice with peas probably. ;)"
enthusiasm,"Hmm..  Interesting choice."
happiness,"Hmm... it's a miracle you're using twitter, and it's fun... so... Tweet!"
surprise,"hmmm i neeeddd foooddd  nd is looking forward 2 playing with the puppy 2 day nd seeing lewishhh"
happiness,"Hmmm thinking about taking back that I feel better this morning - I think I spoke to early"
happiness,"hmmm toughie! haha you are so alike to tom with all these questions  xx"
happiness,"Hoedown throwdown- all I can say is... I'm getting there!"
happiness,"Hoisin duck pizza, salt and pepper pizza and gelato for dinner with Edmund and Jade. Good times!"
enthusiasm,"hold on to what you've got"
enthusiasm,"holllaaa.. i dont know what ur up doing but im trying to finish up some work for school... bout to go to bed though"
surprise,"Holy cow! Archie Andrews finally marries Veronica Lodge.This is not what I thought will eventually happen in my 6th grade  Awww...bad, bad"
surprise,"holy crap, I need to see that! Too bad I gotta wait until tomorrow"
surprise,"holy crap. where did all my time go? =/ gta4 has sucked away my life.. and wasted a whole week! ...i wish i had more self control"
surprise,"Holy moley! It's raining cats and dogs here! And I just got snazzified by Min at Salon Mint!"
happiness,"holy smokes! star trek was freaking awesomeeeee"
relief,"home after a while out! i feel like a long skate seshion but got arrands to do"
relief,"Home at last 1 more day till my weekend begins!!"
enthusiasm,"Home finally! Im soooo tired and kinda lonely now, blah but w.e I'll cuddle in some blankets and watch a movie by myself  sounds good. Lol"
happiness,"Home Friday makes me  too!!!"
happiness,"Home from Disney...best time in a long time...howl at the moon tonight for GBA and then BHB Tuesday  oh drummer boy  niiight"
happiness,"Home from Ghosts of Girlfriends past with my lovely luddite  Not exactly high theatre, but a good date movie!"
surprise,"Home from Jack's now, can't say I'm too happy about that either"
relief,"home from school today"
relief,"home from taking Nick home - a little lighter in pocket after being flashed by a speed camera"
happiness,"home from the beach and only my feet are burned. i am proud of myself and the sunscreen."
happiness,"Home from work"
happiness,"home from work  good night with epic dudes and dudettes"
happiness,"Home from work. A few hours of sleep then putting some miles on the new bike."
surprise,"home in carlsbad with the whole family for mother's day!"
happiness,"home now!"
relief,"home with my lovey.. Busy day td.. Baby shower.. Then a wedding.. Made 2 pies.. Now bed"
happiness,"home! tonight was so much fun! goodnight twitterbugs!"
happiness,"Home. Should be in the bed, but I'm just super duper excited about tomorrow."
happiness,"Home. Tired. Phone then bed.   Good night tweeters, happy mothers day!"
happiness,"Home. Tonight was fun  thanks!"
relief,"home.Going to be a warm day on top of it. Is it Friday yet?"
happiness,"honey is great for your health!"
relief,"hooome from work. why am i awake still? up in 5 hours"
happiness,"Hoooray!  I'm hooked already"
happiness,"Hooray!"
happiness,"Hooray! Your avatar is back! Wil go and put it in the Gardeners zone now"
happiness,"Hope I'm not coming down with piggy flu, eyes red. Neck no longer holds up heavy head. Time for sleep.  Sogni D'oro all!"
relief,"Hope it went well! Was rooting for you both from the (not so) comfort(able world) of PhD application form-filling-in  xxx"
happiness,"hope our wishes come true someday."
happiness,"hope schools gonna be good tomorrow"
happiness,"hope the show is going well!  just wanted u to know that im home now.. muah!"
happiness,"hope the studyin went well"
happiness,"hope this day will be nice as the sun that are upon us"
happiness,"Hope Ye Got Dem; Ur Site Is Amazing, I Got On Everyday; I Tryed My Own, &amp; It Failed  Lol,"
enthusiasm,"Hope you did great - you certainly spent enough time studying."
happiness,"hope you enjoyed your holiday"
relief,"Hope you feel better! If your alone we can talk until your ready to go to bed...I'm alone too"
enthusiasm,"Hope you find a nice and healthy, also cheap, breakfast!"
happiness,"hope you have a great day tomorrow!!  happy mothers day!  let us know what you did"
happiness,"hope you have a great weekend,Paris"
relief,"Hope you're getting all your reading done."
happiness,"Hope you're having a relaxing day. I feel so laid back I can't stand up"
happiness,"Hope your enjoying the money..it's looking real good to me right now"
happiness,"Hopefully going back to work tomorrow!! tired of having a flu.. Beside, I love working with the children, so fun to play with!!"
relief,"hopefully the weather has been nice/cooperating"
happiness,"Hopped up out the bed put my swwwaaaaggg oooonnnn! Then got back in the bed it's raining"
happiness,"Horrible thought... I have to go back to work on Monday   Good thought... I only work for 90 minutes   Life is good."
surprise,"hot weather for the lose. And I have to clean too!  Cleaning in the heat sucks balls."
enthusiasm,"Hour til lunch, can't wait. Ima go to Mcd's"
happiness,"houstatlantavegas, sooner than later, nov. 18th, a night off, successful . over and over for the last 2837 hours - heavennn"
happiness,"how about we start with a true Franchise online mode. Dynasty was huge, Madden online league not so much"
surprise,"how can I read the Floyd article says it's private   - odd -it works for me..."
happiness,"how come you dont think you did good?!"
happiness,"How cool is that!   Thank you so much!   luv it!"
happiness,"how cool will that be  she is so nice!! Bless her=] so what ya upto? Love you (L) XoxoX"
surprise,"How did you swing those? We didn't get that close."
happiness,"how fun!  where is the twitpic! I had purple hair once..."
happiness,"How I Met Your Mother? Best show ever"
happiness,"how is Aussie...im hopin to be there in Sydney in less than a week just got my VISA on thursday whoot whoot"
surprise,"How is she spoilt? She's like 10? 11? That was hard for her to be put up in front of 14m people.  She's really young."
relief,"How it was slept?"
surprise,"how poetic.. great going.. keep them coming"
surprise,"How's your dog?"
enthusiasm,"hows the peas doin? if you meet them, tell them i said hello"
relief,"Howz it going hun??"
relief,"Hubby needs a vacation  Thank God we're leaving for Myrtle Beach in a week!"
happiness,"Huge test at the parents' house. The food is so good, but stuck to one helping, no seconds. Feels good."
surprise,"huh? its 1 am already? shucks"
happiness,"huhuhu still working to get new clients in motion graphics"
happiness,"humm.... I adore Mark #hoppusday ,so I'm just going to throw it out there #hoppusday....... have a nice #hoppusday people!!"
happiness,"Humous and Dorito's.... Oh yes"
surprise,"hungover.........still in bed!!!! duvet day 2day me thinks  ooh may start desperate housewives or watch new dvds off richard xx"
happiness,"Hurray for old friends with beer and lady friends!!!!"
happiness,"Hurray! &quot;Summer-time&quot; starts today, meaning I only have to work until 4 pm, instead of 4.30. Until August! Yay!"
happiness,"I  have always been a sucker for the sound of an acoustic guitar!"
happiness,"I actually envy you even though I've already seen it.  It was that good!"
happiness,"I actually got a bit of a tan today haha sadly will be working all weekend won't get a chance to enjoy the glorious sunrays boo"
surprise,"I added it, are you still awake?"
happiness,"I agree the G B Reef got my vote  #queensland"
relief,"i agree with you!"
happiness,"I agree, 'Paparazzi' waz an amazing vid, I luved it, but felt bad cuz it waz leaked &amp; I watched it"
happiness,"I agree, keep it in Star Trek but make it commercially viable! C'mon!"
surprise,"I agree. Everybody would've been excited and then it goes... ohhhh nooooo..... MS screws up again.."
surprise,"I agree... And child labour laws are so old and out dated."
relief,"I already did.."
happiness,"I already know what happens on Supernatural."
relief,"I also believe in some things are meant to happen."
surprise,"I also found out that it's also my last youth group meeting"
happiness,"I also have a brain tumor called Jeffery."
happiness,"i also want to attend the tafe gig  I asked mum about soundwave and she was like, hmmm possibly. which probably means yes."
happiness,"I always get really excited when 'Steal My Kisses' by Ben Harper comes on the ipod...great song...love the beat-boxing in the beginning"
happiness,"i always have 2 do xtra cleaning b4 leaving... so now were on da road  on 2 springhill suites, then cafe 360, yum!"
happiness,"i always have those for my Champions League parties  Tis awesome"
happiness,"I am back from my weekend getaway! Energized for another week, bring it on! lol"
happiness,"I am back from the best party ever"
happiness,"I am blessed beyond measure"
relief,"i am boooooooored, theres nowhere to go"
happiness,"I am doing fantastic JJJ!  You? Doing your questions already? teacher's pet!!"
enthusiasm,"I am doing the same  I want to travel a little!"
happiness,"I am excited to be home  finally a week and a weekend with people i know"
enthusiasm,"I am excited. Ashley and Matt should be here within the next half hour and that's when it all really starts for me."
happiness,"i am glad cos u wouldnt lose me as a fan anyway  i get to see you guys on saturday evening at leicester  it better be good!"
relief,"I am glad you are getting into your twittering"
happiness,"I am having the TIME of my LIFE"
surprise,"I am horrible at appraising peer work. What are these Americans thinking when they compose poems? Or maybe I am the one with the problem."
happiness,"I am hungry already. Not impressed! And everybody has gone to Rubys"
surprise,"I am in a middle of a industrial estate in pirate ffancy dress,ready to do a 7 mile walk"
happiness,"I am in Weirton Julie, way up North at the tippy top! LOL we don't think southern WV folks like us too much."
happiness,"i am kind of excited to go to school today. i dont know why. hopefully it will be a good day"
relief,"i am leaving soon for Kansas City to take some of my stuff. Only 8 days of living in Carthage left."
surprise,"I am lost. Please help me find a good home."
happiness,"I am now Vice President of Social and Cultural Affairs at Southwestern College"
relief,"I am off to bed now....my family has a wonderful day planned for me today      Happy Mother's Day"
happiness,"I am officially a kindergarten cop"
happiness,"I AM OFFICIALLY CELEBRATING MY 400TH TWEET. Wow! I am so proud  Its great."
surprise,"I am ok, I think I will just take the attitude that Mothers Day is an invented Hallmark holiday from now on"
relief,"I am parked in FS yet no ticket."
surprise,"I am pretty sure that's the sort if tweeting that will lose followers. But stuff it- it was well worth it"
relief,"I am so excited Rob Thomas is back!"
happiness,"I am so glad it's Friday. I just got off work and I'm so tired."
surprise,"i am so going to see transformers on imax.   SO EXCITED!!!"
happiness,"I am so happy. Keve is here for early Mother's day. Let's be quiet. He drove all night and is sleeping."
relief,"I am so stoked on seeing you with the Jonas Brothers"
happiness,"I am soo happy! But frustrated at the same time!  :]  :S. Ohh noo!!! Britney is recording her new video for Radar!!!  Sooo ExxCiiTeed!!!"
happiness,"I am soo happy! Thank you baby for the best 1095 days of my life"
relief,"I am soooo  right now!"
happiness,"I am the same... well peer trained, peer taught, peer learning"
happiness,"I am totally knackered and back in the meeting"
happiness,"I am trying my best to make my own luck"
relief,"I am twittering, LIKE A BOSS. Thanks Savvv"
happiness,"I am UCE, I did my PGCE there   went to Leicester for my main degree though ..."
enthusiasm,"I am with you. -#FollowFriday is easy enough for those who are annoyed by it.  I recommend relatively few people anyway."
relief,"I AM WONDERFULLLL. i went to the ppooool. i forgot my floatiez though"
happiness,"I am working again!  Woo hoo!  Alas, I was unable to obtain an Elita-1 for your daughter.  It's $80!"
happiness,"I am!  going on a hike today!"
relief,"I appreciate the effort. My skin is much softer than your screen"
relief,"I appreciate your kind words. I am glad that the words resonate with you"
happiness,"I asked mum bout going out tommorow, she laughed in my face lmao"
happiness,"I ate a foot long from subway like an hour ago! OMG! I'm happy and full. I hadn't ate since b-fast.  happy Lis."
surprise,"i ate so much"
happiness,"I be having a drink with Marc while Izzy is sleepin  woot woot!"
enthusiasm,"I beat 3 bosses in Castelvania"
happiness,"i beat aye to the music hall.  babyy, im like the cinnamon that beat the apple to the apple jacks."
surprise,"i believe that you are"
surprise,"i bet they did  some people have no ideia or standards  have a lovely time the pair of you"
happiness,"i bet they will be great bags! Can't wait!"
enthusiasm,"i bought a Italian horseshoe charm. Dragon! it seems to be very strong"
happiness,"I brought a buffalo 320gb for 3800...it has the fastest transfer rate for a usb hdd...I benchmarked it at 34mb/s on my comp!!!"
surprise,"I burnt myself"
happiness,"i can be a good girl at school.. today i was!! i did it!! yayy"
relief,"I can has warm chocolate, I is happy now."
surprise,"I can hear it now..."
relief,"I can only message those who message me, if we're fwends...so those that want replies..follow me.  hmm..that sounds funny.."
happiness,"I can remember those Evidence Based Management lectures...definitely the best of EBM"
happiness,"i can smack your head for you"
surprise,"I can't believe how fast this week has gone by"
surprise,"i can't believe it..."
surprise,"I can't believe it's Monday already! A week in Vancouver already gone.. what a good weekend"
surprise,"i can't believe my little brother is married..."
surprise,"i can't believe that you guys are gonna stay just one day here in Rio de Janeiro again"
surprise,"I can't believe you went and got boba without me."
surprise,"I can't belive you only have one episode to go  xx"
surprise,"I can't breathe well but turns out I'm not crazy.  Just inflammed lungs"
